Point ID,arc_length,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,-16.9494,0,-0.07,1,1.00245,-6.87262e-38,2.33336e-22,-1.38215e-15,1.38215e-15,1
1,0.000139996,-16.9494,0,-0.06986,1,1.00244,1.03663e-25,-1.29049e-09,0.00764412,0.00764412,1
2,0.00028,-16.9494,0,-0.06972,1,1.00243,-2.07331e-25,-2.58104e-09,0.0152886,0.0152886,1
3,0.000419997,-16.9494,0,-0.06958,1,1.00242,-7.51568e-25,-3.87153e-09,0.0229328,0.0229328,1
4,0.000560001,-16.9494,0,-0.06944,1,1.00241,-1.41676e-24,-5.16208e-09,0.0305773,0.0305773,1
5,0.000699997,-16.9494,0,-0.0693,1,1.0024,-2.0733e-24,-6.45257e-09,0.0382214,0.0382214,1
6,0.000840001,-16.9494,0,-0.06916,1,1.00239,-2.6953e-24,-7.74312e-09,0.0458659,0.0458659,1
7,0.000979997,-16.9494,0,-0.06902,1,1.00238,-3.32592e-24,-9.03361e-09,0.05351,0.05351,1
8,0.00112,-16.9494,0,-0.06888,1,1.00237,-3.87018e-24,-1.03242e-08,0.0611546,0.0611546,1
9,0.00126,-16.9494,0,-0.06874,1,1.00236,-4.35394e-24,-1.16147e-08,0.0687987,0.0687987,1
10,0.0014,-16.9494,0,-0.0686,1,1.00235,-4.83773e-24,-1.29052e-08,0.0764432,0.0764432,1
11,0.00154,-16.9494,0,-0.06846,1,1.00234,-5.32148e-24,-1.41957e-08,0.0840873,0.0840873,1
12,0.00168,-16.9494,0,-0.06832,1,1.00233,-5.80527e-24,-1.54862e-08,0.0917319,0.0917319,1
13,0.00182,-16.9494,0,-0.06818,1,1.00232,-6.17673e-24,-1.67767e-08,0.099376,0.099376,1
14,0.00196,-16.9494,0,-0.06804,1,1.00231,-6.53093e-24,-1.80673e-08,0.10702,0.10702,1
15,0.0021,-16.9494,0,-0.0679,1,1.0023,-6.73825e-24,-1.93578e-08,0.114665,0.114665,1
16,0.00224,-16.9494,0,-0.06776,1,1.00229,-6.77282e-24,-2.06483e-08,0.122309,0.122309,1
17,0.00238,-16.9494,0,-0.06762,1,1.00228,-6.16809e-24,-2.19388e-08,0.129953,0.129953,1
18,0.00252,-16.9494,0,-0.06748,1,1.00227,-4.82045e-24,-2.32294e-08,0.137598,0.137598,1
19,0.00266,-16.9494,0,-0.06734,1,1.00226,-2.46205e-24,-2.45199e-08,0.145242,0.145242,1
20,0.0028,-16.9494,0,-0.0672,1,1.00226,1.38221e-24,-2.58104e-08,0.152886,0.152886,1
