Point ID,arc_length,div(phi),magR,momentError_0,momentError_1,momentError_2,momentError_Magnitude,nut,nuTilda,p,Points_0,Points_1,Points_2,Points_Magnitude,turbulenceProperties:devReff_0,turbulenceProperties:devReff_1,turbulenceProperties:devReff_2,turbulenceProperties:devReff_3,turbulenceProperties:devReff_4,turbulenceProperties:devReff_5,turbulenceProperties:devReff_Magnitude,turbulenceProperties:epsilon,turbulenceProperties:I,turbulenceProperties:k,turbulenceProperties:L,turbulenceProperties:nuEff,turbulenceProperties:nut,turbulenceProperties:R_0,turbulenceProperties:R_1,turbulenceProperties:R_2,turbulenceProperties:R_3,turbulenceProperties:R_4,turbulenceProperties:R_5,turbulenceProperties:R_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,-4.93457e-05,0.000725195,5.2364e-05,-0.00106351,0.168267,0.16827,1.48385e-06,0,-0.160111,0,-0.07,1,1.00245,-2.3233e-07,5.3545e-07,-3.0312e-07,-4.2936e-08,-0.00395613,-4.24916e-09,0.00395613,0,0,0,0,1.14838e-05,1.48385e-06,-3.00196e-08,6.91868e-08,-3.91673e-08,-5.54824e-09,-0.000511179,-2.47383e-10,0.000511179,0,0,0,0,1
1,0.000139996,-5.97626e-05,0.00129179,5.25592e-05,-0.00101325,0.160764,0.160767,2.86667e-06,2.69825e-06,-0.160111,0,-0.06986,1,1.00244,-2.27531e-07,3.67291e-07,-1.3976e-07,-4.10371e-08,-0.00392313,-4.84403e-09,0.00392313,0.00335651,0.00612164,0.000505684,0.000132161,1.28667e-05,2.86667e-06,0.000337089,0.000337064,0.000337215,-5.02329e-09,-0.000575668,-8.51078e-10,0.000819969,2.38778e-07,-3.80574e-07,0.029276,0.029276,1
2,0.00028,-7.018e-05,0.00185841,5.27545e-05,-0.000962978,0.153261,0.153264,4.24956e-06,5.39665e-06,-0.16011,0,-0.06972,1,1.00243,-2.22733e-07,1.99123e-07,2.36096e-08,-3.91381e-08,-0.00389013,-5.43893e-09,0.00389013,0.0067132,0.0122436,0.0010114,0.00026433,1.42496e-05,4.24956e-06,0.000674227,0.000674077,0.000674487,-4.49832e-09,-0.000640161,-1.45481e-09,0.0013318,4.77568e-07,-7.61168e-07,0.0585536,0.0585536,1
3,0.000419997,-8.05969e-05,0.002425,5.29497e-05,-0.000912711,0.145759,0.145762,5.63238e-06,8.09491e-06,-0.16011,0,-0.06958,1,1.00242,-2.17934e-07,3.09634e-08,1.8697e-07,-3.72392e-08,-0.00385713,-6.03379e-09,0.00385713,0.0100697,0.0183652,0.00151708,0.000396491,1.56324e-05,5.63238e-06,0.00101135,0.00101107,0.00101174,-3.97337e-09,-0.00070465,-2.0585e-09,0.00188818,7.16346e-07,-1.14174e-06,0.0878297,0.0878297,1
4,0.000560001,-9.10143e-05,0.00299162,5.31449e-05,-0.000862441,0.138256,0.138259,7.01527e-06,1.07933e-05,-0.16011,0,-0.06944,1,1.00241,-2.13135e-07,-1.37205e-07,3.5034e-07,-3.53402e-08,-0.00382413,-6.62869e-09,0.00382413,0.0134264,0.0244872,0.00202279,0.00052866,1.70153e-05,7.01527e-06,0.00134848,0.00134808,0.00134901,-3.44839e-09,-0.000769142,-2.66223e-09,0.0024591,9.55137e-07,-1.52234e-06,0.117107,0.117107,1
5,0.000699997,-0.000101431,0.00355821,5.33401e-05,-0.000812173,0.130754,0.130756,8.39809e-06,1.34916e-05,-0.16011,0,-0.0693,1,1.0024,-2.08337e-07,-3.05364e-07,5.137e-07,-3.34413e-08,-0.00379113,-7.22356e-09,0.00379113,0.0167829,0.0306088,0.00252848,0.000660821,1.83981e-05,8.39809e-06,0.0016856,0.00168508,0.00168627,-2.92345e-09,-0.000833631,-3.26592e-09,0.00303631,1.19391e-06,-1.90291e-06,0.146383,0.146383,1
6,0.000840001,-0.000111849,0.00412483,5.35354e-05,-0.000761903,0.123251,0.123253,9.78098e-06,1.619e-05,-0.16011,0,-0.06916,1,1.00239,-2.03538e-07,-4.73532e-07,6.7707e-07,-3.15423e-08,-0.00375813,-7.81846e-09,0.00375813,0.0201396,0.0367308,0.00303419,0.00079299,1.9781e-05,9.78098e-06,0.00202274,0.00202209,0.00202354,-2.39847e-09,-0.000898124,-3.86965e-09,0.00361686,1.4327e-06,-2.2835e-06,0.175661,0.175661,1
7,0.000979997,-0.000122265,0.00469142,5.37306e-05,-0.000711636,0.115748,0.11575,1.11638e-05,1.88882e-05,-0.16011,0,-0.06902,1,1.00238,-1.98739e-07,-6.41692e-07,8.40431e-07,-2.96434e-08,-0.00372514,-8.41333e-09,0.00372514,0.0234961,0.0428524,0.00353987,0.000925151,2.11638e-05,1.11638e-05,0.00235986,0.00235909,0.00236079,-1.87352e-09,-0.000962613,-4.47335e-09,0.00419931,1.67148e-06,-2.66408e-06,0.204937,0.204937,1
8,0.00112,-0.000132683,0.00525804,5.39258e-05,-0.000661366,0.108245,0.108247,1.25467e-05,2.15866e-05,-0.160109,0,-0.06888,1,1.00237,-1.9394e-07,-8.0986e-07,1.0038e-06,-2.77444e-08,-0.00369214,-9.00822e-09,0.00369214,0.0268528,0.0489744,0.00404558,0.00105732,2.25467e-05,1.25467e-05,0.002697,0.0026961,0.00269806,-1.34855e-09,-0.00102711,-5.07707e-09,0.00478302,1.91027e-06,-3.04467e-06,0.234215,0.234215,1
9,0.00126,-0.0001431,0.00582463,5.4121e-05,-0.000611099,0.100743,0.100745,1.39295e-05,2.42849e-05,-0.160109,0,-0.06874,1,1.00236,-1.89142e-07,-9.78019e-07,1.16716e-06,-2.58455e-08,-0.00365914,-9.60309e-09,0.00365914,0.0302093,0.055096,0.00455127,0.00118948,2.39295e-05,1.39295e-05,0.00303412,0.0030331,0.00303532,-8.23602e-10,-0.00109159,-5.68077e-09,0.00536752,2.14905e-06,-3.42525e-06,0.263491,0.263491,1
10,0.0014,-0.000153517,0.00639126,5.43163e-05,-0.000560829,0.0932401,0.0932418,1.53124e-05,2.69833e-05,-0.160109,0,-0.0686,1,1.00235,-1.84343e-07,-1.14619e-06,1.33053e-06,-2.39465e-08,-0.00362614,-1.0198e-08,0.00362614,0.033566,0.061218,0.00505698,0.00132165,2.53124e-05,1.53124e-05,0.00337125,0.00337011,0.00337259,-2.98627e-10,-0.00115609,-6.2845e-09,0.00595264,2.38784e-06,-3.80584e-06,0.292768,0.292768,1
11,0.00154,-0.000163934,0.00695785,5.45115e-05,-0.000510562,0.0857377,0.0857392,1.66952e-05,2.96815e-05,-0.160109,0,-0.06846,1,1.00234,-1.79544e-07,-1.31435e-06,1.49389e-06,-2.20477e-08,-0.00359314,-1.07929e-08,0.00359314,0.0369225,0.0673396,0.00556266,0.00145381,2.66952e-05,1.66952e-05,0.00370837,0.0037071,0.00370984,2.2632e-10,-0.00122058,-6.88819e-09,0.00653815,2.62662e-06,-4.18642e-06,0.322044,0.322044,1
12,0.00168,-0.000174352,0.00752447,5.47067e-05,-0.000460292,0.0782348,0.0782362,1.80781e-05,3.23799e-05,-0.160109,0,-0.06832,1,1.00233,-1.74745e-07,-1.48251e-06,1.65726e-06,-2.01487e-08,-0.00356014,-1.13878e-08,0.00356014,0.0402792,0.0734616,0.00606837,0.00158598,2.80781e-05,1.80781e-05,0.00404551,0.00404412,0.00404712,7.51295e-10,-0.00128507,-7.49192e-09,0.00712401,2.86541e-06,-4.56701e-06,0.351322,0.351322,1
