Point ID,arc_length,nu,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,0.00542405,9.17286,0,-0.07,1,1.00245,0,0,0,0,1
1,0.000139996,0.00542626,9.17286,0,-0.06986,1,1.00244,-6.31503e-12,-1.34986e-11,0.00783315,0.00783315,1
2,0.00028,0.00542847,9.17286,0,-0.06972,1,1.00243,-1.26304e-11,-2.6998e-11,0.0156667,0.0156667,1
3,0.000419997,0.00543068,9.17286,0,-0.06958,1,1.00242,-1.89454e-11,-4.04966e-11,0.0234999,0.0234999,1
4,0.000560001,0.0054329,9.17286,0,-0.06944,1,1.00241,-2.52608e-11,-5.39959e-11,0.0313334,0.0313334,1
5,0.000699997,0.00543511,9.17286,0,-0.0693,1,1.0024,-3.15758e-11,-6.74945e-11,0.0391666,0.0391666,1
6,0.000840001,0.00543732,9.17286,0,-0.06916,1,1.00239,-3.78912e-11,-8.09939e-11,0.0470001,0.0470001,1
7,0.000979997,0.00543953,9.17286,0,-0.06902,1,1.00238,-4.42062e-11,-9.44925e-11,0.0548333,0.0548333,1
8,0.00112,0.00544174,9.17286,0,-0.06888,1,1.00237,-5.05216e-11,-1.07992e-10,0.0626668,0.0626668,1
9,0.00126,0.00544395,9.17286,0,-0.06874,1,1.00236,-5.68366e-11,-1.2149e-10,0.0705,0.0705,1
10,0.0014,0.00544616,9.17286,0,-0.0686,1,1.00235,-6.3152e-11,-1.3499e-10,0.0783335,0.0783335,1
11,0.00154,0.00544838,9.17286,0,-0.06846,1,1.00234,-6.9467e-11,-1.48488e-10,0.0861667,0.0861667,1
12,0.00168,0.00545059,9.17286,0,-0.06832,1,1.00233,-7.57824e-11,-1.61988e-10,0.0940003,0.0940003,1
13,0.00182,0.0054528,9.17286,0,-0.06818,1,1.00232,-8.20974e-11,-1.75486e-10,0.101833,0.101833,1
