Point ID,arc_length,div(phi),magR,momentError_0,momentError_1,momentError_2,momentError_Magnitude,nu,nut,nuTilda,p,Points_0,Points_1,Points_2,Points_Magnitude,turbulenceProperties:devReff_0,turbulenceProperties:devReff_1,turbulenceProperties:devReff_2,turbulenceProperties:devReff_3,turbulenceProperties:devReff_4,turbulenceProperties:devReff_5,turbulenceProperties:devReff_Magnitude,turbulenceProperties:epsilon,turbulenceProperties:I,turbulenceProperties:k,turbulenceProperties:L,turbulenceProperties:nuEff,turbulenceProperties:nut,turbulenceProperties:R_0,turbulenceProperties:R_1,turbulenceProperties:R_2,turbulenceProperties:R_3,turbulenceProperties:R_4,turbulenceProperties:R_5,turbulenceProperties:R_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,-7.04359e-10,2.0256e-07,-8.8456e-07,-3.41327e-06,-4.34272e-06,5.59393e-06,0.00542302,2.42279e-09,0,9.16457,0,-0.07,1,1.00245,-6.08495e-09,-9.60575e-09,1.56907e-08,1.73589e-07,-0.319595,2.6077e-08,0.319595,0,0,0,0,0.00542303,2.42279e-09,-2.71853e-15,-4.29147e-15,7.00997e-15,7.75526e-14,-1.42782e-07,0,1.42782e-07,0,0,0,0,1
1,0.000139996,-8.57733e-10,1.93107e-07,-9.15055e-07,-3.25301e-06,-4.47441e-06,5.60711e-06,0.00542524,2.30972e-09,0,9.16457,0,-0.06986,1,1.00244,-6.01542e-09,-1.08173e-08,1.68327e-08,1.74758e-07,-0.31888,2.53817e-08,0.31888,0,0,0,0,0.00542525,2.30972e-09,-2.59167e-15,-4.0912e-15,6.68284e-15,7.39336e-14,-1.36119e-07,0,1.36119e-07,-4.65336e-09,2.47003e-10,0.00794437,0.00794437,1
2,0.00028,-1.01112e-09,1.83654e-07,-9.45551e-07,-3.09274e-06,-4.6061e-06,5.62808e-06,0.00542746,2.19666e-09,0,9.16457,0,-0.06972,1,1.00243,-5.94588e-09,-1.20289e-08,1.79748e-08,1.75926e-07,-0.318165,2.46863e-08,0.318165,0,0,0,0,0.00542746,2.19666e-09,-2.4648e-15,-3.89093e-15,6.3557e-15,7.03143e-14,-1.29456e-07,0,1.29456e-07,-9.30697e-09,4.94018e-10,0.0158892,0.0158892,1
3,0.000419997,-1.16449e-09,1.74202e-07,-9.76046e-07,-2.93248e-06,-4.73778e-06,5.65674e-06,0.00542967,2.0836e-09,0,9.16457,0,-0.06958,1,1.00242,-5.87635e-09,-1.32404e-08,1.91168e-08,1.77094e-07,-0.31745,2.39909e-08,0.31745,0,0,0,0,0.00542968,2.0836e-09,-2.33794e-15,-3.69066e-15,6.02858e-15,6.66953e-14,-1.22793e-07,0,1.22793e-07,-1.39603e-08,7.41021e-10,0.0238335,0.0238335,1
4,0.000560001,-1.31787e-09,1.64749e-07,-1.00654e-06,-2.77221e-06,-4.86948e-06,5.69299e-06,0.00543189,1.97053e-09,0,9.16457,0,-0.06944,1,1.00241,-5.80681e-09,-1.4452e-08,2.02588e-08,1.78262e-07,-0.316735,2.32955e-08,0.316735,0,0,0,0,0.0054319,1.97053e-09,-2.21107e-15,-3.49039e-15,5.70144e-15,6.30761e-14,-1.16129e-07,0,1.16129e-07,-1.86139e-08,9.88037e-10,0.0317783,0.0317783,1
5,0.000699997,-1.47125e-09,1.55296e-07,-1.03704e-06,-2.61195e-06,-5.00116e-06,5.73667e-06,0.00543411,1.85747e-09,0,9.16457,0,-0.0693,1,1.0024,-5.73728e-09,-1.56636e-08,2.14008e-08,1.7943e-07,-0.31602,2.26001e-08,0.31602,0,0,0,0,0.00543412,1.85747e-09,-2.08421e-15,-3.29013e-15,5.37431e-15,5.94571e-14,-1.09466e-07,0,1.09466e-07,-2.32673e-08,1.23504e-09,0.0397227,0.0397227,1
6,0.000840001,-1.62463e-09,1.45843e-07,-1.06753e-06,-2.45168e-06,-5.13286e-06,5.78762e-06,0.00543633,1.7444e-09,0,9.16457,0,-0.06916,1,1.00239,-5.66775e-09,-1.68752e-08,2.25429e-08,1.80598e-07,-0.315305,2.19047e-08,0.315305,0,0,0,0,0.00543634,1.7444e-09,-1.95734e-15,-3.08985e-15,5.04717e-15,5.58378e-14,-1.02803e-07,0,1.02803e-07,-2.79209e-08,1.48206e-09,0.0476675,0.0476675,1
7,0.000979997,-1.778e-09,1.36391e-07,-1.09803e-06,-2.29142e-06,-5.26454e-06,5.84565e-06,0.00543855,1.63134e-09,0,9.16457,0,-0.06902,1,1.00238,-5.59821e-09,-1.80867e-08,2.36849e-08,1.81767e-07,-0.31459,2.12093e-08,0.31459,0,0,0,0,0.00543855,1.63134e-09,-1.83048e-15,-2.88959e-15,4.72005e-15,5.22188e-14,-9.614e-08,0,9.614e-08,-3.25743e-08,1.72906e-09,0.0556119,0.0556119,1
8,0.00112,-1.93138e-09,1.26937e-07,-1.12853e-06,-2.13115e-06,-5.39623e-06,5.91056e-06,0.00544077,1.51828e-09,0,9.16457,0,-0.06888,1,1.00237,-5.52868e-09,-1.92983e-08,2.4827e-08,1.82935e-07,-0.313875,2.05139e-08,0.313875,0,0,0,0,0.00544077,1.51828e-09,-1.70361e-15,-2.68932e-15,4.39291e-15,4.85996e-14,-8.94766e-08,0,8.94766e-08,-3.72279e-08,1.97607e-09,0.0635567,0.0635567,1
9,0.00126,-2.08476e-09,1.17485e-07,-1.15902e-06,-1.97089e-06,-5.52792e-06,5.98211e-06,0.00544298,1.40522e-09,0,9.16457,0,-0.06874,1,1.00236,-5.45915e-09,-2.05098e-08,2.5969e-08,1.84103e-07,-0.31316,1.98186e-08,0.31316,0,0,0,0,0.00544299,1.40522e-09,-1.57675e-15,-2.48905e-15,4.06578e-15,4.49806e-14,-8.28136e-08,0,8.28136e-08,-4.18812e-08,2.22308e-09,0.071501,0.071501,1
